,subject,course,title,description,transcript
0,african-american-studies,afam-162,lecture-10,"The Harlem Renaissance brought together legions of black writers, artists, musicians, and intellectuals who celebrated black culture and romanticized its connections to an African past. In this lecture, Professor Holloway documents some of the expressions of the Harlem Renaissance (also known as the New Negro Renaissance), the political and cultural movement that claimed Harlem as its figurative capital. In fact, thousands of African Americans flocked to Harlem, and it became the center of a rich cultural and political environment–one always fraught with complications, but still understood to represent the best that black America had to offer. As Professor Holloway shows, white enthusiasts of these newly-admired cultural forms visited Harlem to get a taste of black life. Indeed, without the financial support of the white community, whatever cultural efflorescence that did exist in Harlem would have been significantly less grand. Yet the tensions between white patrons and black artists, as well as between black intellectuals and black artists, made the Harlem Renaissance a complex movement.",":  When I lectured on Monday about Marcus Garvey and a little bit about Father Divine, what I was trying to get at–towards the end was the complicated texture of, for the lack of a better phrase, of– pardon me. There is no single leader for this moment that I’m talking about for today, which is, you know, loosely called the Harlem Renaissance. They were in their element, a place of animals. Father, Son, and Holy Ghost,So I make an idle boast;Jesus of the twice-turned cheek,Lamb of God, although I speakWith my mouth thus, in my heartDo I play a double part. Ever at Thy glowing altarMust my heart grow sick and falter,Wishing He I served were black,Thinking then it would not lackPrecedent of pain to guide it,Let who would or might deride it;Surely then this flesh would knowYours had bone–borne a kindred woe. Lord, forgive me if my needSometimes shapes a human creed. And that “it” he’s talking about is civilization. And what he’s really bemoaning, I think, is the fact that it took him so long to understand that these Africanist belief systems, this fashioning of many different kinds of dark gods, that he actually saw something desirable in it as well; that he often wished his god, something you can’t see and can’t hear in the reading of it, but you see in the print, with, you know, he’s capitalizing “He” and “You” often, that he wishes his god were a god that looked black, or looked, you know, black African. And one quick caveat here–and I’ve already–in fact, I’ve already done it–I’ll talk about the Harlem Renaissance and the New Negro–New Negro Renaissance. And it’s also a movement of white infatuation. And when you have such an intense change in places like Chicago, or Detroit, or New York City in terms of demographics, there’s a heightened sense of, of, of cultural tension, and that’s what’s really so important about the Renaissance’s connection to the migration, and why Harlem is often thought of as the, as the, as the–referred to as the Harlem Renaissance, because Harlem does become the focal point for so much of these artistic changes, although they are happening everywhere. A few people even say the Renaissance never ended; it just kind of quieted down. It’s expanded and published as a book, edited by Locke, that is recognized as the bible of the Renaissance, and that book is called Now you remember the, the phrase New Negro goes back to Booker T. Washington’s, you know, popularizing of it at the turn of the century. Locke, a philosopher, was convinced that culture, that thing he’s trying to gather up in the book ¸ culture was a political battleground. And to be sure, this is part of the heritage that many Renaissance artists hailed in their work. That Africa was being hailed and celebrated at all was revolutionary. In the first, you have the Negro in an African setting, an exhortation of the culturally vibrant African past, with the ring shout religious tradition being practiced and drums, dances in the state of ecstasy. And you’ll see in these images I’m going to show you here  themes of, well-stylized forms, but also circles and light. Up here, right here, see somebody hung and a lynch rope coming down. I bathed in the Euphrates when dawns were young. :  I don’t think we need to spend much time interpreting this poem, but it is seen as, again, one of these great documents that ties together a lot of the different strands of the Renaissance. Was it for blacks, was it for whites, was it for the wealthy, was it for workers? This is also the era of celebrating blackness, celebrating African forms. But it also, Madam C.J. Walker becomes the most powerful black businesswoman, a multimillionaire, by selling hair straightening products and skin lightening creams, idealizing white beauty."
1,african-american-studies,afam-162,lecture-11,"The 1930s was a decade filled with economic, legal, political, and social controversy. In this lecture, Professor Holloway looks at the Great Depression and the federal government’s responses to it, including the New Deal’s impact on African Americans, both materially and symbolically. As the federal government openly courted their favor, African Americans organized various political groups to monitor federal activities. In the second portion of the lecture, Professor Holloway examines the achievements of the Black Cabinet, the injustices of the Scottsboro Boys’ case, and the efficacy of the “Don’t Buy Where You Can’t Work” campaigns, led in Washington, D.C., by the New Negro Alliance. As much as the 1930s were about retrenchment for African Americans, they also reflected new political possibilities and new forms of political expression within black America. Thus, as Professor Holloway reveals, the roots of the modern civil rights movement are all part and parcel of New Deal America.",":  For the purpose of this week, we’ll essentially be resting in the 1930s, essentially. So the stock market crashes in October Twenty-Nine. So what we consider the essential work of the federal government is, in our contemporary moment is essentially created during the New Deal. But the economy doesn’t actually turn around until the U.S. begins arming Europe as it heads toward Second World War. On the ground, too many federal programs were left to local administrators to run. Now the reason I was flailing here, because there are certain areas the NRA doesn’t address the minimum wage, and I kept wanting to say those things; That’s why I was fumbling. It does not establish minimum wages for people in agricultural sector. Their job, the job, the things they did were mainly accomplished behind the scenes. But we don’t actually know the literal changes they made. There were one or two brother pairs, but they didn’t know each other, essentially. ”A reference to the fact that, that the mob that wanted to kill the Scottsboro boys did not succeed. And, within two weeks, the boys are indicted, tried, and all but one are sentenced to death. And certainly as the Communists saw this as a way to open up a discussion about Southern racism, NAACP thought that, you know, “You’re, you’re pulling too many things together here, and trying to–basically you’re trying to develop racial insubordination in the South. In 1931, the boys were arrested and convicted. Samuel Leibowitz presents new evidence, but was considered too tough on Victoria Price, thus violating Southern codes of honor. And this actually–This is actually another image from Harlem. New cases in thirty-three, in thirty-three, a coalition in thirty-five. The New Negro Alliance is a local articulation–this is local being Washington D.C.–of a larger national phenomenon, “Don’t buy where you can’t work” campaigns. “ And it speaks to this new sort of form of political organizing that I’m suggesting is there with the Scottsboro boys and the, the Black Cabinet. The hold out is the Sanitary Grocery Company. So they’re trading fliers, pamphlets, media bout–you know media shots for a–for a long time. So the Sanitary Grocery Company ceases doing business under that name, and it becomes Safeway. But this is, I mean it’s a humorous coda for those who know Safeway. This is the potential of the new black politics: high politics, low politics, somewhere in the middle politics, and you’re going to start seeing in tomorrow’s lecture and in the, in the lectures over the next couple of weeks, a new kind of organizing mentality, operating at all levels, that starts to change the landscape of the American scene."
2,african-american-studies,afam-162,lecture-12,"In this lecture, Professor Holloway continues discussing African American political possibilities in the second half of the 1930s by examining the new mentality at work in black America. He focuses on the National Negro Congress, the Marian Anderson Easter Sunday Concert, and the March on Washington movement. These examples reveal the diverse strategies and organizing methods employed during this era, as the federal government learned that it could not afford to ignore black leaders the way it had since the founding of the Republic. Professor Holloway also examines the radical possibilities of this decade, as black Communists and Socialists advanced democratic visions for the country. For a brief moment, these ideas appeared to have traction. Yet as the Cold War marched on, charges of communism would decimate some African American civil rights groups.",":  In the last lecture I set the terms for the week’s discussion, those being retrenchment and political advancement. The Scottsboro boys reaches back to a past of social control, certainly, but also representing in the Scottsboro boys case, in the way the Communist Party gets involved, that there’s a new mentality at work in black America, and new values in–or being seen–the, the, the accused being seen as commodities on a political battlefield. The most important labor leader in black America, is elected its first president. Again, themes from the Niagara Movement, but in this case with the students, a different type of cultural emphasis. I think a hangover, in a sense, from the Harlem Renaissance. Now the Southern Negro Youth Congress is important because of its Communist involvement, certainly, but also because you can see it as a preface to the civil rights activities that defined Birmingham some twenty years later, and that as we’ll see next week, you start seeing a lot of these kinds of activities in other places throughout the South, through other organizations. I’ll leave that alone there for a moment. Its male leaders go off to fight; its female leaders do not remain youthful. Randolph, A. Phil–A. Philip Randolph, he’s the president, is hearing more whispering about Communist involvement in the National Negro Congress, and he’s not happy about it. Now the DAR maintained a strictly segregated policy. Well, the fact is, that’s what Houston was trying to do the whole time, once he got involved, because this is a great way to break down the color line in the school system, using Marian Anderson as a symbolic vehicle. On the day in question, Ickes steps up to the microphone and introduces Marian Anderson. Now whether that’s true or not is a–well I don’t think we remember this speech, so it didn’t really rival the Gettysburg Address. You start hearing a plane flying overhead there. And in fact, as an aside, it’s–the inauguration of Barack Obama, something, I don’t know if I’ll talk about it or not at the end of the class, but when Aretha Franklin stands up to sing she, I mean, it’s a, culturally a very dense inauguration. They’d been working on the Black Cabinet. You just, here’s just somebody’s back standing in front of an audience. But it really was quite a visual spectacle, and I think offers ways for you to think about how you read images, for instance, perspective being very important. By the mid-twenties,  as a journal is actually not doing that well. Efforts are made to get better working conditions and higher wages from Pullman. In fact, the Pullman porters, the U.S. post, the military, over the course of the twentieth century, are the three great ways for black Americans to transition to middle-class status. But as you know, Randolph is a staunch anti-Communist, and as the National Negro Congress develops further, he realizes there’s no place for him any more in that organization. Please talk to Randolph and tell him to call off this march.” It doesn’t immediately integrate all industries."
3,african-american-studies,afam-162,lecture-13,"In this lecture, Professor Holloway presents an overview of the civil rights events that took place between the end of World War II and  in 1954. A critical survey of the histories behind such famous events as the desegregation of the Armed Forces, the formation of the Congress on Racial Equality (CORE), the elimination of the all-white primary, and the Supreme Court’s  decision demonstrate how complicated the story of the civil rights movement is. Professor Holloway canvasses events on the high political stage as well as in the legal arena to understand the fundamental shift, taking place in the country on racial issues. An examination of civil rights organizing practices and legal strategies in the 1940s, in particular, helps provide a framework for re-periodizing the movement.",":  I want to start with, I guess for lack of a better word, two vignettes. North Carolina required separate washrooms in its factories. And in, and in Washington DC, the custom had prevailed for nearly ninety years. He didn’t sound at all like anybody I knew. That’s when he started talking about ‘niggers’ wanting to go to school with his children and how he wasn’t going to stand for it. He pulled me down and turned me on my back. I looked up into his face, looming close above me like the monster on a movie screen. I covered my eyes with my hands and waited for him to strike me again. Thus begins her journey towards becoming one of the Little Rock Nine. They have to rely on white patrons to make ends meet, but they could turn to the federal government instead, but the federal government, and I started talking about it with the Black Cabinet through Marian Anderson’s concert on Easter Sunday, 1939, the federal government is now standing in, in complicated ways, certainly, but still standing in and keeping an eye on the quality of black life. It’s the Double V campaign, Double V, two Vs: that there would be victory over fascism abroad and victory over racial discrimination at home. Randolph, as you already know, was an anti-communist. You need to understand this; it’s rather important. Among its proposals, the commission suggested anti-lynching and anti-poll tax laws, a permanent FEPC, and strengthen–strengthening the Civil Rights Division of the Department of Justice. The executive orders that grow out of this array of changes are 9980, nine-nine-eight-zero, establishing fair employment practices in the federal government, and the next one immediately, so you can see he’s going on a tear, Executive Order 9981 establishes the President’s Committee on Equality of Treatment and Opportunity in the Armed Forces, the decree that leads to the desegregation order to the military. The military takes its sweet old time desegregating, but the order’s issued in 1948, growing out of this–Truman’s political move to sort of clarify the mess of the Democratic Party, make it known to African Americans that he was going to support them, the Democratic Party would support them. Okay, that’s 1935.Based on the success of that case, Houston brings Marshall over to the NAACP and they start traveling from southern courthouse to a southern courthouse to southern courthouse, filing law–lawsuits for black students and teachers. In 1938, in the case–these are Supreme Court cases by the way–. Lloyd Gaines is the plaintiff and Canada—who is, I’m missing the first name here, It’s the last name of the registrar of the University of Missouri. Houston and Marshall keep plugging away, filing the lawsuits, poking at the system. I mean, the lawyers were, were claiming, “You cannot build a law school in a few months,” and it really was just done in a few months, “designed to educate blacks in the state and suggest that it’s even near equal to what the University of Oklahoma’s already established law school provides.” Southern states recognize this and feverishly start trying to improve black schools, which were horrible. Someone, jurists, legal, legal historians think it was probably going to go against Brown. Now Warren himself did not have a sterling civil liberties record. So people doing some basic psychoanalysis, armchair psychoanalysis, saying Warren is trying–I mean is horrified in retrospect over what he did in a moment of war, what he felt was right at the time, to deny citizenship rights to so many people, and was trying to sort of cleanse himself."
4,african-american-studies,afam-162,lecture-14,"Martin Luther King, Jr. and the civil rights movement have become embodied in each other. But in this lecture, Professor Holloway asks: what of the other activists in the struggle? What of the other organizations involved in the struggle? And what of the history of the struggle before King reluctantly emerged on the scene? By uncovering the histories of the Montgomery bus boycott, the integration of Central High School in Little Rock, the death of Emmett Till, the Greensboro student sit-ins, and the formation of the Southern Christian Leadership Conference and the Student Nonviolent Coordinating Committee, one finds differing responses to violence and multiple approaches to attacking racial bias and discrimination. Professor Holloway also draws attention to the gender dynamics of the civil rights movement by considering the inner-workings of the Women’s Political Council in Montgomery, Alabama, the original motivating force behind the 1955 bus boycott, and the great importance of respectability to the movement. This lecture reveals that there was no single civil rights movement, that there were many activists working in a variety of different ways and with varying degrees of success, and that King was a complicated figure, both inspiring and stifling activism.","Just a reminder that the , Spike Lee’s documentary about the, the, the, the murder of four girls in Birmingham, is going to be screened tonight at eight o’clock in WLH–:  One-nineteen.: Now let’s look at the Montgomery bus boycott. And I want to encourage you to go back and look at it now. The Women’s Political Council with Jo Ann Gibson Robinson’s leadership, she’s one of the key figures in it, has already gone to the black ministers in town and the city government in town about their frustration over the way that blacks were treated on the buses and the way they were treated in stores downtown. “ But if nothing else, metaphorically, it’s actually a very important point. And they knew that they could not make a convincing case if they have someone with such failed standards, such immorality in her system, that she’d be the worst example for these women activists. I already told you about Melba Beals’ experience as she’s about to be raped when she’s twelve years old, but we can see in reactions in other places in the South, systemic reactions, the extent or the ways in which there was a logic that blacks had to behave just right because the stakes were so high. If you were known to be a member of the NAACP and worked in Mississippi, well, you know, the boss might decide you don’t have your job any longer, for some other trumped up reason. There are many different versions of what happens. What happens later is of great consequence. His mother insists on having an open casket at the Chicago funeral and the images shock the country. What are the adults asking the children to do for the sake of the movement? Now one final note about the school year and Little Rock. Only a minority of folks rose to the challenge, and accepted it, and pursued it. King is raised in a tradition of ministers. King, though, these things aren’t widely known at this moment in time, fifty-five, is seen as a real future star, and he gets a job in Montgomery, heading the Dexter Avenue Baptist Church, which is, much in the tradition of his father and grandfather, the most elite, sort of upstanding and politically conservative, quiescent church, in that particular city. King as a minister is automatically in that group. He fought, fought, fought, but he couldn’t say no. If we are wrong, the Supreme Court of this nation is wrong. If we are wrong, justice is a lie, love has no meaning. And we are determined here in Montgomery to work and fight until justice runs down like water, and righteousness like a mighty stream. And by the way, Rustin and Baker are finally getting the attention that they deserve from, from amazing histories that have been written about five or six years ago. But Rustin sees in the success and the violence as a catalytic, catalytic moment of possibility, and that the question becomes not so much, “How great was this moment?” She’s expecting sort of a modest turnout. And out of that organization grows the Southern Nonviolent Coordinating Committee, otherwise known as SNCC."
5,african-american-studies,afam-162,lecture-15,"In this lecture, Professor Holloway offers a richer portrait of Martin Luther King, Jr. than his “I Have a Dream Speech” speech provides. Though King’s message and delivery are precious moments in this nation’s history, and excerpts are familiar to virtually all American school children, King’s opinion of society and its remedy have been frozen in time and reduced to a few moments of his famous speech. Professor Holloway frees King from his magnificent yet soothing speech in order to appreciate the real world political and social battles that defined his life and the lives of those who fought beside him in the struggle for freedom and equality. By shedding light on moments that have been dropped out of the “master narrative” of the civil rights movement, Professor Holloway demonstrates that the movement was far from reaching a moment of transcendence at the 1963 March on Washington.",":  The song that, I imagine, for many of you needs no introduction, but for a few of you who may not be familiar with it, that’s one of the great anthems of the Civil Rights Movement, “We Shall Overcome.” ”Gary Cooper, for those who don’t know, it’s a different generation, great cinematic hero, often played the good guy, you know cowboys and Indians. Birmingham had already been the witness or home to all kinds of violence. I’m being extremely politic in saying this. Not going nearly fast enough for African Americans and white activists. Meanwhile, marches are being organized in Birmingham, organized from the Sixteenth Street Baptist Church, to try to call attention to the general plight that African Americans face in Birmingham, the injustice, injustice of the situation. And by raising the stakes, that means using children. Robert F. Kennedy, he was leading a civil rights agenda for his brother, John F. Kennedy, Robert F. Kennedy is beside himself. This is what he was doing, there’s no doubt about it, that King is trying to antagonize the situation and horrify the nation by revealing what Bull Connor would actually do, and Bull Connor took the bait. While all of this is going on, to speak of the sort of the heightened tension around various hotspots in the South and local and states’ rights versus federal rights, James Meredith, a few months earlier, inspired by Kennedy’s election and inauguration, applies for and is accepted at Old Miss, the flagship school in Mississippi, where Mississippi’s elite get trained. The march happens at the very end of August 1963, August twenty-eighth. John Lewis, currently representative of Congress, then the new head of the Student Nonviolent Coordinating Committee, John Lewis has a chance to go to the microphone, he prepares a speech, the original version of which is in your text. And in many people’s opinions, even if they agreed with Lewis, they’re saying, “There’s no way that you can actually say this, cause you will antagonize to the point, we will, this will kill the civil rights bill.” I’m thinking of other cardinals in the news for other reasons, the last few years–a, a cardinal says, “I’ll leave the podium if you say this.” When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir. We cannot be satisfied as long as a Negro in Mississippi cannot vote and a Negro in New York believes he has nothing for which to vote. But Du Bois was talking about “returning, returning from fighting, returning fighting” and King is saying the same thing, “We can never be satisfied,” as long as you can’t vote in Mississippi and as long as there’s no reason to vote in New York. Their death says to us that we must work passionately and unrelentingly for the realization of the American dream. I’m going to play, you know, a portion of it."
6,african-american-studies,afam-162,lecture-16,"In this lecture, Professor Holloway revisits Malcolm X’s life in order to offer a more nuanced interpretation of the black leader than is traditionally taught. Professor Holloway links Malcolm X to a tradition of black intellectuals and political activists like Booker T. Washington, Marcus Garvey, and Robert Williams, and he explores the philosophy of the Nation of Islam (NOI), the organization for which Malcolm X is the national spokesman before his split with Elijah Muhammad in 1964. In the final year of his life, prior to his assassination by NOI members in 1965, Malcolm X makes a religious journey to Mecca, rejects his prior views on race, starts the Organization of Afro-American Unity, and adopts the name El-Hajj Malik El-Shabazz. In the remainder of the lecture, Professor Holloway backtracks to explore some of the other historical events that frame the civil rights movement, including Freedom Summer, the Mississippi Freedom Democratic Party, and the 1964 Civil Rights Act.",":  Alright, why don’t we go ahead and get started. The first is from Bullet and the second is from  This is why I say it’s the ballot or the bullet. Is this what makes Malcolm X so different from Martin Luther King and other famous African American leaders? Okay now the Niagara Movement wasn’t calling for violence upon violence, in, in response to violence, self-defense, not that way. We’ll be coming back next to King next week and you’ll–I’ll flesh out that statement more completely. But Malcolm X is older than Martin Luther King by four years. Fard disappears under curious circumstances. Now the Nation of Islam is a very unorthodox version of traditional Islam. Teaching self discipline and self help, being those things that are most desperately needed, often, by those who are in prison, after all. And the rhetorical flair of Malcolm, I’m sorry of Martin Luther King’s speeches–this is also the period of King’s greatest triumphs–aren’t doing anything to change the daily quality, quality of life for most blacks, particularly those living outside of the South. Malcolm X’s rhetoric isn’t necessarily putting food on the table, but when you marry the rhetoric with the establishment of these temples and stores, Nation of Islam stores, and laundries–if you think back to Marcus Garvey’s UNIA, black owned, entrepreneurial opportunities, serving a black community–that’s what the Nation of Islam is doing as well. Elijah Muhammad saw this as an opportunity, as it turns out. All of these are views that he espoused while in the Nation of Islam. In the end, Malcolm X acknowledged that his political views are rapidly evolving, embodied in the fact that he no longer goes by Malcolm X. El-Hajj Malik El-Shabazz is the name he adopts during this last conversion. And on July 2nd, in 1964, Lyndon Johnson, Lyndon Johnson succeeds. It provides for full access in places of public accommodation, establishes a permanent Equal Employment Opportunity Commission. Despite all the work of the Mississippi Freedom Summer activists, and their success at establishing the Mississippi Freedom Democratic Party, essentially an alternative to the Democratic Party in Mississippi, the fact is, the chance for blacks to actually vote through, quote, normal channels, official channels, is essentially nonexistent. Democrats are heading towards a convention in August for the Democratic Party. Eventually, six put on–into jail for violating federal civil rights laws, are given three to six years."
7,african-american-studies,afam-162,lecture-17,"In this lecture, Professor Holloway focuses on the events between 1964 and 1966 that contribute to a fundamental shift in the tone and tactics of the civil rights movement. By examining the Mississippi Freedom Democratic Party’s quest to seat alternate delegates at the Democratic National Convention in 1964; “Bloody Sunday” and the 1965 march from Selma to Montgomery; the signing of the 1965 Voting Rights Act; and the riots that summer in Watts, a poor neighborhood in Los Angeles, Professor Holloway reveals that people were struggling with the new tactical change in the movement. The militancy seen in Watts was becoming more recognizable and more frequent, partially due to rhetoric but also do to the increasing U.S. military occupation in Vietnam. Impatience was growing not just in urban or northern areas, but all over the country. In the final portion of the lecture, Professor Holloway offers a preview of the first Black Panther Party, the Lowndes County Freedom Organization, founded in Lowndes County, Mississippi, and the shifting racial philosophy of the Student Non-Violent Coordinating Committee, led by Stokely Carmichael.",":  What I’d like to do today is go back very briefly so we’re all on the same page, moving from events in 1964 through 1966 actually. In my opinion, as I stand here, I not only blame the people who pulled the trigger or did the beating or dug the hole with the shovel, I bury the peace, but not up there with God. From the standpoint of tactics, it’s clear to Johnson and to others–Lyndon Johnson and to others–that by signing in the Civil Rights Act, he was kissing away the Democratic Party in the South. Well, while Hamer is giving this testimony to the credentials committee, Lyndon Johnson, still in Washington, D.C., at the White House, hears about it, knows it’s going out live and is furious, and immediately calls a press conference trying– Bless you–trying to simply distract the media from what’s now airing over the country. Civil Rights Act does not address voting. Thank you, Bull Connor–much like Bull Connor. In this case, the cameras were already there. King asks, asks his followers to kneel and pray along with him and then, in a complete shock to those SNCC leaders who are still beaten and bloody from two days earlier, King tells them to go back to their churches. They were going to press forward and do this all over again. Their struggle is our struggle and we shall overcome.” In June of the same year, sixty-five, at Howard University’s graduate–graduation ceremony, Howard being the most important, largest historically black college and university, essentially mostly funded by the federal government, Johnson at the graduation ceremony says the following:“You do not– excuse me—You do not wipe away the scars of centuries by saying, ‘Now you are free to go where you want, do as you desire, and choose the leaders you please.’ I’m like, “Dad, you know better than this.” Meanwhile, a crowd arrives of citizens and residents of the area. Thirty-five thousand adults are deemed, quote, active rioters. So a lot of people were active as rioters who never, you know, see justice, according to the police, because they’re the ones shooting from windows the police can never get to, for instance. Certainly something tactical by going after those institutions that the residents thought were keeping them down. For white America, all of this happens completely out of the blue. But what is clear is that just as people are struggling with this new tactical change in the movement, got to pursue the black vote, people are clearly struggling with a shift in tone. Oh, that’s my–I have something happening soon, I guess, my computer telling me I have to go. As Carmichael digs a little deeper in Lowndes, he finds, finds a different current though, and he just discovers that trying to register black Lowndes County citizens to vote in the Democratic Party is something he’s really not going to have much success doing. And the LCFO chooses as its mascot the black panther. And this group, as we’ll see next week, becomes the inspiration for the famous Black Panther Party. In January of 1966, Samuel Young, a twenty year-old Navy vet, African American, recruited by SNCC to be an organizer in Tuskegee, he’s killed for using a white bathroom."
8,african-american-studies,afam-162,lecture-18,"Just as Martin Luther King, Jr. and Malcolm X have been mythologized in American history, organizations and individuals affiliated with the Black Power call have also been romanticized as well as demonized in such a way that the truth behind their image has been lost. In this lecture, Professor Holloway uncovers the history of black radicalism in the sixties, most famously embodied by the Black Panther Party, and reveals how black power encompassed a call for race pride, the development of black-run organizations dedicated to saving black communities, and also a fascination with an image–one conferred upon black radicals by whites as well as consciously cultivated by African Americans. At the same time, this hyper-masculine, cool, soulful, and dangerous aesthetic obscured some of the important work that the black militants tried to accomplish. In the second half of this lecture, Professor Holloway reveals how groups like the Black Panthers created their own community social welfare programming and maintained links between their cause and that of oppressed people around the world.","<>:  I think maybe I just wanted to be a DJ in another life. I mean, I’m not saying that he didn’t mean these things certainly, but, but the, the scope of what’s actually going to happen, the violence and the rhetoric, is palpable and we are certainly past that moment of the beloved community, with Martin Luther King and his dream in 1963. Stokely Carmichael gets out of jail and tells an assembly out on the lawns, “The only way”–excuse me. It’s not about, you know, trying to get in the front door of a bus or the front door of a restaurant. My notes seem to be all over the place today. It creates incredible friction, and creates a crisis at the state capital. I want to play to you–for you a clip of that circus. Statement of the Black Panther Party for Self-Defense. All of these efforts have been answered by more repression, deceit, and hypocrisy. Looking at a city like Oakland, with essentially a ravaged social services system, the Panthers saw the need for after-school programs for black children and for hot breakfast programs, things that they just weren’t getting through the school system. You also see, not just in Oakland, but in places throughout the country, with a ranges of success, Panther health clinics opening up. Now Eldridge Cleaver had a particularly important role in cultivating support for the Panther Party and does a lot through , the book I’ve asked you to read this week, or read most of this week. He is, to be as polite as possible, rather homophobic. Now, taking back to the very beginning of this course, when I talked about the ironies of John Jack’s existence. And they offer Carmichael the position of Prime Minister of the Black Panther Party. He is being seen by many people across the political spectrum as the heir apparent of Martin Luther King and Malcolm X, although of a different kind of politics, but the heir apparent. And, as it turns out, because the Panthers were so open about courting white support–through cocktail parties, where Eldridge Cleaver would come up and tell, you know, all the whites in attendance about how bad they are, essentially–because the Panthers courted white support, SNCC militants said, “We have–We’ve left whites behind. So these are a number of the events that take us through the late 1960s and into, into the early seventies. They were not cherished by the society and therefore they would feel that they should, well, spit in the face of the establishment."
9,african-american-studies,afam-162,lecture-19,"As the movement moved out of the South and away from a largely Christian orientation, it became clear that people were prepared to enlarge the struggle so that it became linked to international issues including the war in Vietnam, the spread of capitalism, and the exploitation of developing countries. Yet for every moment of great promise, there was a moment of great confusion and despair. In this lecture, Professor Holloway traces the competing lines of activism, change, struggle, frustration, and political brinksmanship that occurred in the late sixties. He focuses on SNCC’s trajectory, Martin Luther King’s poverty campaign in Chicago, his views on Vietnam, the riots that followed his 1968 assassination, and the Poor People’s Campaign. The remainder of the lecture focuses on the national and international events of 1968 that contributed to this feeling of unrest sweeping the country. As the movement grew beyond its traditional boundaries, the moral and psychological hold it had on America began to lose its strength. As Professor Holloway explains, by the end of the 1960s, it seemed that Americans cared little for the larger and more complicated truths pointed to by black radicals’ political, social, economic, and cultural critique.",":  You’ll remember from last lecture, Gwendolyn Brooks’–what I think at least, is a haunting poem–We real cool. Written in 1966, but really stands in for, in so many ways, this fundamental shift that I’ve been talking about the last couple of lectures, and sort of the mentality from mid-1960s, heading into the end of the 1960s. The cracks start to appear as it struggled to find its own voice, feeling smothered by King’s presence. In the leadership void left behind by Carmichael, you have a cadre of different leaders battling it out, who’s going to be  person representing SNCC.Meanwhile, the organization is infiltrated by the FBI. However, at this moment, sixty-six, partly out of result of searching for the next great agenda for the movement, partly out of the shifting logics of how the U.S. economy is functioning on a global scale, partly out of the radicalism and the internationalist radicalism that starts being articulated more aggressively by SNCC and would soon be articulated by the Black Panther Party, with its Marxist ideology, King really starts to emphasize poverty. This is the next frontier of the movement. So King is in Chicago, setting up shop and by July, the midsummer, things are organized enough and he prepared enough logistically, he organizes a march. So King’s earliest efforts in Chicago are merely symbolic efforts. King organizes a march to call attention like he’s done on so many other occasions to systemic discrimination, and the way it’s been embodied in Chicago, and then at the last minute, tries to cancel it when, when Daley agrees to sign a, a new housing plan. It’s also important–so, so the, the Chicago, the local activists decides, “We’re going to march without King. And his organization and his style just don’t work. I mean LBJ’s no stranger to brinksmanship. This was also not a King that LBJ was going to tolerate. And as you know, Newark is still struggling with the legacy of these, of these, of what happened in the 1960s, the late sixties. In early 1968, a little less than a year after he comes out against the Vietnam War, King issues a call for a massive protest event, called the Poor People’s Campaign. But he would stay put in Memphis until the workers were recognized. But the White House is now closed to him, and since the successes of sixty-three, sixty-four, and sixty-five, King had only been met with a series of setbacks. The change or the restoration of those parts of the city took well over thirty years. If you look at the buildings of the early 1970s, you can tell what’s basically riot architecture: you know, large stone buildings with very small windows that chairs cannot be thrown through. He’s isolated, he’s–I mean essentially not in the Panthers, he’s isolated from SNCC, but people are  thinking that he might be the one to take up King’s mantle. In the wake of King’s assassination, as the riots are cooling down, leaders start to–the other leaders of the civil rights organizations, people in King’s inner-circle are saying, “What are we going to do to honor King? The revolution will be no re-run brothers;  The revolution will be live.: Y’know I jus’ about had my fill  Of Whitey on the moon."
